id,topic,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
64,Performance,expert,When is object pooling harmful rather than helpful in modern Java?,When pooling database connections,When pooling SSL/TLS sessions,When pooling thread instances,"When pooling cheap, short-lived objects like small POJOs - modern GCs handle them efficiently and pooling adds synchronization overhead",D,"Modern JVMs use TLAB (Thread-Local Allocation Buffer) making object allocation nearly free (pointer bump). Short-lived objects in Young Gen are collected cheaply by copying collectors. Pooling cheap objects adds: synchronization overhead, memory retention, complexity, and poor cache locality. Pool only expensive resources: connections, threads, native handles."
65,Collections,hard,What data structure does TreeMap use internally to maintain sorted order?,Red-black tree (self-balancing BST),Hash table with sorted buckets,Skip list,B-tree,A,"TreeMap uses a red-black tree: self-balancing BST with color rules ensuring max height of 2*log(n). Guarantees O(log n) for get, put, remove. Provides sorted iteration, range queries (subMap, headMap, tailMap), and floor/ceiling operations. Keys must implement Comparable or a Comparator must be provided."
66,Streams & Lambdas,medium,What is the correct way to use Optional when a value might be absent?,Call optional.get() directly without checking,"Use orElse(), orElseGet(), or orElseThrow() to handle both present and absent cases",Store Optional in entity fields for database mapping,Pass Optional as a method parameter,B,"Best practices: never call get() without checking - use orElse(default), orElseGet(() -> compute()), or orElseThrow(). Chain with map/flatMap: optional.map(User::getName).orElse(""unknown""). Don't use Optional as field type, method parameter, or in collections. Return empty collections instead of Optional<List>."
67,Performance,medium,What is the recommended maximumPoolSize for HikariCP in most applications?,100 connections minimum,Equal to the number of application instances,CPU cores * 2 + number of disk spindles (typically 10-20),1 connection per concurrent user,C,Formula from PostgreSQL wiki: connections = CPU cores * 2 + disk spindles. For SSD: typically 10-20 connections. More connections does not mean better performance - context switching and lock contention increase. Set minimumIdle equal to maximumPoolSize for a fixed pool. A 4-core server with SSD performs well with ~10 connections.
68,Collections,medium,What is the advantage of using Comparator.comparing() chain over implementing Comparable?,Comparator is faster at runtime,Comparator uses less memory,Comparable doesn't work with Collections.sort(),"You can define multiple sort strategies externally without modifying the class, and chain with thenComparing()",D,"Comparable defines ONE natural ordering inside the class. Comparator allows multiple external strategies: Comparator.comparing(User::getName).thenComparing(User::getAge).reversed(). You can sort classes you can't modify, combine multiple fields, and pass different strategies to the same sort method."
69,Performance,hard,Which lazy initialization pattern is both thread-safe and avoids synchronization overhead on every access?,Initialization-on-demand holder (static inner class) pattern,Simple null check without synchronization,Synchronized getter method,Eager initialization in static block,A,"Holder pattern: `private static class Holder { static final T INSTANCE = new T(); }`. The JVM guarantees class loading is thread-safe - the inner class isn't loaded until first accessed, providing lazy initialization without any synchronization code. Simpler and safer than double-checked locking."
70,Streams & Lambdas,hard,What does Collectors.groupingBy() with a downstream collector produce?,A single aggregated value,A Map where keys are group classifiers and values are results of the downstream collector,A List of all elements,A sorted stream,B,"groupingBy(classifier, downstream) creates Map<K, D>. Examples: groupingBy(User::getDept, counting()) gives Map<Dept,Long>. groupingBy(User::getDept, mapping(User::getName, toList())) gives Map<Dept,List<String>>. Multi-level: groupingBy(dept, groupingBy(role)). partitioningBy is a special case splitting into true/false groups."
71,Performance,expert,What is the main advantage of memory-mapped files (MappedByteBuffer) over standard FileInputStream?,They encrypt data automatically,They work with files larger than available RAM more efficiently than streams,"Zero-copy I/O - the OS maps file directly into virtual memory, avoiding user-kernel space copies",They compress data on the fly,C,"Memory-mapped files use FileChannel.map() to map files into virtual memory. The OS handles page faults and caching - no explicit read() calls or buffer copies between kernel and user space. Benefits: zero-copy, OS-managed caching, random access without seeking. Limited to 2GB per mapping (int index). No explicit close/unmap in Java."
72,Collections,hard,Why is EnumSet significantly faster than HashSet for enum values?,EnumSet uses a linked list optimized for enums,EnumSet uses native code via JNI,EnumSet caches all possible combinations at class load time,"EnumSet is backed by a bitmask (single long), so operations are bitwise O(1) with no hashing",D,"EnumSet uses a single long as a bitmask (for <= 64 enum constants). Add = set bit, remove = clear bit, contains = test bit. Operations like addAll, retainAll, removeAll become single bitwise AND/OR/XOR - O(1) and cache-friendly. No hashing, no collision resolution, no boxing. Always use EnumSet/EnumMap for enum types."
73,Performance,medium,When does string concatenation with '+' become a performance problem?,"Inside loops, where it creates O(n) intermediate objects leading to O(n^2) total copying",Always - you should never use + for strings,Only when concatenating more than 100 characters,When used with final String variables,A,"In loops: `for(item:items) result += item;` creates a new String each iteration, copying all previous content. For n items: O(n^2) total characters copied. Use StringBuilder in loops. For simple expressions like ""Hello "" + name, Java 9+ uses invokedynamic + StringConcatFactory which is efficient - no manual StringBuilder needed."
74,Streams & Lambdas,medium,What type of method reference is String::toUpperCase?,Static method reference,Instance method reference of an arbitrary object of a given type,Instance method reference of a particular object,Constructor reference,B,Four types: 1) Static: Integer::parseInt. 2) Instance of particular object: System.out::println. 3) Instance of arbitrary object: String::toUpperCase (equivalent to s -> s.toUpperCase() - called on the stream element). 4) Constructor: ArrayList::new. String::toUpperCase is type 3 because toUpperCase() is called on each String in the stream.
75,Performance,hard,What are Java records (Java 16+) primarily designed for?,Mutable data classes with setters,Database entity mapping with JPA,"Immutable data carriers with auto-generated constructor, accessors, equals, hashCode, and toString",Thread-safe concurrent data structures,C,"Records: `record Point(int x, int y) {}` auto-generates: canonical constructor, accessors (x(), y()), equals/hashCode (all fields), toString. Fields are final. Benefits: immutability enables safe sharing, less boilerplate, consistent equals/hashCode. Not for: entities needing mutation, classes requiring inheritance, or complex business objects."
76,Microservices,medium,When should you NOT adopt a microservices architecture?,When you have high traffic and need independent scaling,When your services need independent deployment cycles,When you need technology diversity across teams,"When you have a small team, simple domain, or lack DevOps maturity",D,"Microservices trade development simplicity for operational complexity. A small team (< 5 devs), simple domain, startup phase, or lack of CI/CD, monitoring, and container orchestration makes microservices a net negative. Start monolithic, extract services when there's a clear bounded context that benefits from independence."
77,Microservices,hard,What does the Outbox pattern solve in distributed systems?,The dual-write problem - ensuring database update and event publish happen atomically,Load balancing between services,Service discovery in Kubernetes,Rate limiting API calls,A,"Dual-write: updating DB AND publishing event can partially fail (DB succeeds, event fails). Outbox: write the event to an outbox table in the SAME transaction as business data. A separate process (CDC with Debezium or polling) reads outbox and publishes to the broker. Guarantees at-least-once delivery; consumers must be idempotent."
78,Microservices,hard,Which is NOT a typical responsibility of an API Gateway?,Request routing to appropriate microservices,Containing business logic and domain validation rules,"Authentication, rate limiting, and response caching",Protocol translation (REST to gRPC) and response aggregation,B,"API Gateway handles cross-cutting concerns: routing, auth, rate limiting, caching, protocol translation, and aggregation (BFF pattern). Business logic belongs in services - putting it in the gateway makes it a monolithic bottleneck. Keep the gateway thin and focused on infrastructure concerns."
79,Microservices,expert,What is the role of the sidecar proxy (Envoy) in a service mesh like Istio?,It replaces the application's business logic,It stores the service's database,"It handles mTLS, retries, circuit breaking, and observability without code changes in the service",It compiles the service code at deployment time,C,"Envoy sidecar proxies deploy alongside each service, handling: mutual TLS (encryption between services), retries/timeouts, circuit breaking, load balancing, distributed tracing, and metrics collection - all transparently. The service code doesn't change. Trade-offs: added latency per hop, operational complexity, resource overhead."
80,Microservices,medium,What is the main advantage of asynchronous messaging (Kafka/RabbitMQ) over synchronous REST between services?,Messages are always delivered faster than HTTP,Messaging automatically handles transactions across services,Messaging eliminates the need for service contracts,"Temporal decoupling - the consumer doesn't need to be available at publish time, improving resilience",D,"Async messaging decouples services in time: if the consumer is down, messages are queued and processed when it recovers. Also enables: better scalability (consumers scale independently), natural event-driven design, and backpressure handling. Trade-offs: eventual consistency, harder debugging, message ordering complexity."
81,Microservices,hard,What is the purpose of context propagation in distributed tracing?,To pass trace/span IDs in headers so requests can be correlated across service boundaries,To share database connections between services,To replicate data between microservice databases,To synchronize clocks across all services,A,"Context propagation passes trace and span IDs (via W3C Trace Context headers: traceparent) from service to service. This allows tracing tools (Jaeger, Zipkin) to reconstruct the full request path, measure latency per service, and identify bottlenecks. Spring Boot uses micrometer-tracing with OpenTelemetry for automatic propagation."
82,Testing,medium,What does the testing pyramid recommend about the ratio of test types?,"Equal numbers of unit, integration, and E2E tests","Many unit tests at the base, fewer integration tests in middle, very few E2E tests at top",Mostly E2E tests with few unit tests,Only integration tests are needed,B,"Testing pyramid: ~70% unit tests (fast, isolated, many), ~20% integration (service + real dependencies, fewer), ~10% E2E (full system, slowest, fewest). Anti-pattern: ice cream cone (many slow E2E, few unit). Unit tests give fast feedback; integration tests verify wiring; E2E tests validate critical user journeys."
83,Testing,hard,What is the difference between @SpringBootTest and @WebMvcTest?,@SpringBootTest is faster because it loads fewer beans,They are identical but for different Spring versions,"@WebMvcTest loads only the web layer (controller, filters) while @SpringBootTest loads the full application context",@WebMvcTest requires a running server while @SpringBootTest does not,C,"@WebMvcTest(Controller.class): loads only web layer - controller, argument resolvers, filters, advice. Mock services with @MockBean. Fast and focused on HTTP behavior. @SpringBootTest: loads full context (all beans) - use for integration tests. Slower but tests real wiring. Use @DataJpaTest for repository layer only."
84,Testing,medium,"In Mockito, what is the difference between a mock and a spy?",Mocks are faster; spies are thread-safe,There is no difference - they are aliases,Spies can only be created for interfaces; mocks work for classes,A mock returns defaults unless stubbed; a spy wraps a real object and calls real methods unless overridden,D,"Mock: completely fake, returns null/0/false by default, all interactions recorded. Spy: wraps a real object - real methods execute unless you explicitly stub them with doReturn().when(). Use spy when you want mostly real behavior but need to override or verify specific methods."
85,Testing,hard,What is the core cycle of Test-Driven Development (TDD)?,Red (failing test) then Green (minimal code to pass) then Refactor (improve while tests pass),Write code then Write test then Refactor,Design then Implement then Deploy then Test,Write all tests first then Implement everything then Never refactor,A,"TDD: 1) Red - write a failing test that defines desired behavior. 2) Green - write the minimum code to make it pass. 3) Refactor - improve design while keeping tests green. Benefits: tests drive design (testable = well-designed), instant regression safety, behavior documentation. Skip/relax for prototyping or trivial CRUD."
86,Modern Java,medium,What must subclasses of a sealed class be declared as?,abstract or static,"final, sealed, or non-sealed",public and transient,synchronized or volatile,B,"Sealed classes restrict extension with `permits`. Subclasses must be: final (no further extension), sealed (controlled extension continues), or non-sealed (opens up extension again). This enables exhaustive pattern matching - the compiler knows all possible subtypes and warns about missing cases in switch."
87,Modern Java,hard,What does pattern matching with 'when' guards enable in Java 21 switch expressions?,Matching only null values,Matching regex patterns against strings,"Adding conditions to type patterns, like `case Integer i when i > 0 -> ...`",Automatic type casting without instanceof,C,"Java 21 switch: `switch (obj) { case Integer i when i > 0 -> positive; case Integer i -> nonPositive; case String s -> text; case null -> handleNull; }`. Guarded patterns combine type matching with conditions. Record patterns deconstruct: `case Point(int x, int y) when x > 0 -> ...`. Exhaustiveness is checked at compile time."
88,Modern Java,medium,How does a text block determine indentation stripping?,All leading whitespace is always preserved,You must explicitly call trim() on the result,Indentation is always removed completely,The position of the closing triple-quote determines the baseline - common leading whitespace is stripped,D,"The closing """""" position sets the left margin. Common leading whitespace (the minimum across all lines and the closing delimiter) is stripped. Moving the closing """""" left adds indentation to the result; moving it right strips more. Trailing whitespace per line is also stripped. Use \s to explicitly preserve trailing spaces."
89,Microservices,medium,What is the Strangler Fig pattern used for?,Incrementally migrating from a monolith to microservices by routing requests to new services while old code still runs,Load testing microservices under pressure,Removing unused database tables,Optimizing network routing between data centers,A,"Strangler Fig: gradually replace monolith functionality with microservices. Route traffic via API gateway - new requests go to new service, legacy continues working. Once validated, remove old code. Benefits: low risk (gradual), always deployable, easy rollback. The anti-pattern is big-bang rewrite."
90,Testing,hard,What advantage do Testcontainers provide over H2 for integration testing?,Testcontainers are faster to start,"Testcontainers run real databases (PostgreSQL, MySQL) in Docker, matching production behavior exactly",Testcontainers don't require any configuration,H2 is not compatible with JUnit,B,"H2 in compatibility mode doesn't fully replicate production database behavior (stored procedures, full-text search, JSON operators differ). Testcontainers runs the actual PostgreSQL/MySQL/Redis in ephemeral Docker containers - tests match production exactly. Spring Boot @ServiceConnection auto-configures the datasource. Requires Docker installed."
91,Modern Java,expert,What does the Foreign Function & Memory API (Project Panama) replace?,Java serialization,The Java Collections Framework,"JNI (Java Native Interface) - providing safe, efficient native code access without writing C",JDBC database connectivity,C,"Panama provides: MemorySegment for safe bounded native memory access, Arena for lifecycle management, and Linker for calling native functions directly from pure Java. No C/JNI boilerplate needed. jextract generates Java bindings from C headers. Better performance (no JNI overhead), memory safety (bounds checking), and pure Java solution."
92,Microservices,hard,"In a Kubernetes environment, is a dedicated service discovery tool like Eureka still necessary?","Yes, Eureka is always required for microservices",Eureka is required for health checks,Only if you use more than 10 services,No - Kubernetes provides built-in service discovery via DNS and kube-proxy load balancing,D,"Kubernetes provides built-in discovery: services get DNS names (service-name.namespace.svc.cluster.local), kube-proxy handles load balancing, and readiness probes manage health. Dedicated tools like Eureka add complexity without benefit in K8s. They're still relevant for non-K8s deployments or multi-cluster scenarios."
93,Testing,medium,What is the main idea behind consumer-driven contract testing?,"The consumer defines expected interactions (contract), and the provider verifies it can fulfill them",The provider defines what consumers must accept,Both consumer and provider write tests independently without coordination,A third-party service validates all contracts,A,"Consumer-driven: consumer defines expected requests/responses in a contract file. Provider runs those contracts against its real implementation. Catches integration issues early without running all services together. Tools: Pact (consumer generates pact file), Spring Cloud Contract (provider defines contracts, generates stubs for consumers)."
94,Modern Java,medium,What is the key difference between switch expressions (Java 14) and traditional switch statements?,Switch expressions only work with strings,"Switch expressions can return a value, use arrow syntax without fall-through, and must be exhaustive",Switch expressions are slower than statements,Switch expressions don't support default cases,B,"Switch expressions: return a value (`String result = switch(x) {...}`), arrow syntax (no break needed, no fall-through), multiple labels per case (`case MON, FRI ->`), must be exhaustive (all cases or default), `yield` for multi-line cases. Traditional switch: statements only, fall-through by default, break required."
95,Modern Java,hard,What problem does the Java Module System (JPMS) solve that the classpath cannot?,Faster compilation times,Automatic dependency download like Maven,"Strong encapsulation - internal packages are truly hidden, and missing dependencies fail at startup rather than runtime",Better syntax highlighting in IDEs,C,"JPMS provides: reliable configuration (missing modules caught at startup, not ClassNotFoundException at runtime), strong encapsulation (internal packages hidden even with reflection by default), and smaller runtimes (jlink creates custom JRE with only needed modules). The classpath has no encapsulation and discovers missing classes only at runtime."
96,Testing,hard,Which library is best suited for testing asynchronous code with polling and timeout?,Mockito,Thread.sleep() with assertions,JUnit @Timeout annotation alone,Awaitility - it polls a condition with configurable timeout and interval,D,"Awaitility: `await().atMost(5, SECONDS).until(() -> resultReady())` - polls a condition with configurable interval and timeout. Better than Thread.sleep (wastes time or is flaky). For CompletableFuture: use .join() or .get(timeout). For Spring @Async: use Awaitility or ArgumentCaptor to capture callbacks."
97,Microservices,expert,Why must consumers be idempotent when using the Outbox pattern?,Because at-least-once delivery means messages may be processed more than once after retries or failures,Because outbox tables have a size limit,Because the outbox only stores one message at a time,Because consumers run on a single thread,A,"Outbox guarantees at-least-once delivery: the publisher may re-read unpublished events after a crash, sending duplicates. Consumers must handle duplicates safely (idempotency): use deduplication IDs, upsert instead of insert, or check if already processed. Without idempotency, duplicate processing causes data corruption."
98,Modern Java,medium,What is the recommended replacement for RestTemplate in new Spring applications?,HttpURLConnection,WebClient (Spring WebFlux) - supports both blocking and non-blocking calls,Apache HttpClient directly,Socket programming,B,"RestTemplate is in maintenance mode (no new features). WebClient is the recommended replacement: supports reactive non-blocking (Mono/Flux), streaming, and can also be used in blocking mode with .block(). For non-Spring apps, Java 11's built-in HttpClient is a good zero-dependency option supporting HTTP/2 and async."
99,Testing,medium,What does mutation testing measure that code coverage cannot?,How fast tests execute,How many lines of code exist,"Whether tests actually detect code changes (test effectiveness), not just that code was executed",Memory usage during tests,C,"Code coverage measures execution (did tests run this line?). Mutation testing measures detection (if I change this line, does a test fail?). Mutations: change + to -, negate conditions, remove returns. Survived mutants = weak tests. PIT (pitest) for Java. Run on critical business logic - it's slow (runs tests many times per mutation)."
100,Modern Java,hard,What does Structured Concurrency (Java 21 preview) guarantee that ExecutorService does not?,Faster thread creation,Priority-based scheduling,Automatic retry of failed tasks,All subtasks complete (or are cancelled) before the parent scope exits - preventing thread leaks and dangling tasks,D,"StructuredTaskScope ensures child tasks are bounded to parent scope: `try (var scope = new StructuredTaskScope.ShutdownOnFailure()) { scope.fork(task1); scope.fork(task2); scope.join(); }`. If parent exits or fails, children are cancelled. No orphan threads. Combined with Scoped Values (replaces ThreadLocal for virtual threads) for safe context propagation."
101,Microservices,expert,"In the 20NINE platform, why is DynamoDB (NoSQL) used as the operational store for money instead of relying solely on a SQL database?","Because the money workload is keyed point operations (get/write balance by id) protected by per-item conditional writes (@DynamoDBVersionAttribute), while PostgreSQL is kept as an async mirror for analytics/history","Because DynamoDB provides ACID transactions across multiple wallets, removing the need for a saga",Because NoSQL guarantees strong consistency between all services automatically,Because SQL databases cannot store monetary values accurately,A,"20NINE uses both: DynamoDB is the operational source of truth for live balances and transaction lifecycle, chosen because the hot path is keyed point operations (not joins) and per-item optimistic locking (@DynamoDBVersionAttribute + ConditionalCheckFailedException) covers per-wallet correctness. PostgreSQL/JPA is a synchronized mirror written after the DynamoDB commit for analytics, reporting, and history  -  so the two are only eventually consistent, which is one reason the bank reconciliation job exists. It is NoSQL for the transactional path, SQL for the analytical path."
102,Microservices,medium,"In 20NINE, which pair correctly maps the two protocols to their usage?",gRPC for async workflows; Kafka for synchronous lookups,gRPC for synchronous request/response lookups; Kafka for async state-changing workflows,gRPC for messaging fan-out; Kafka for service discovery,Both gRPC and Kafka are used only for synchronous calls,B,gRPC is used when you need an answer now (synchronous request/response lookups between services). Kafka is used to decouple and process asynchronously with retries  -  it carries state-changing workflows and cross-service choreography. Kafka is not used as an event store.
103,Microservices,hard,"In 20NINE's wallet flow, at which stage does a wallet balance actually change?","On the INIT message, when the transfer is split into legs","On PROCESS, before confirmation",Only on CONFIRM  -  the balance is a mutable number per wallet updated via read-modify-write,Only after bank reconciliation completes,C,"A transfer is split into two legs (debit + credit) published to Kafka. Each leg runs INIT -> PROCESS -> CONFIRM, and the balance (a mutable number per wallet in DynamoDB) only changes on CONFIRM via a read-modify-write. That read-modify-write is where the race-condition risk lives."
104,Concurrency,hard,"Two transactions read a wallet balance of 100 nearly simultaneously; one writes 150 and the other writes 70, and one change vanishes. What is this and the fix?",A deadlock; fix with lock ordering,False sharing; fix with cache-line padding,A dirty read; fix by raising the isolation level,A lost update; fix with optimistic locking (version attribute + conditional write) that retries on ConditionalCheckFailedException,D,"This is a classic lost update: both reads see 100, last write wins, and the first change disappears. The fix is optimistic locking  -  a version attribute plus a DynamoDB conditional write that only succeeds if the version still matches. A stale write fails with ConditionalCheckFailedException, which is caught and retried against the fresh balance so nothing is dropped."
105,Concurrency,hard,Why is a `synchronized` block insufficient to protect wallet balance updates in 20NINE?,"synchronized is per-JVM, but the service runs on multiple pods, so two pods can still race  -  the guard must live in the database","synchronized only guarantees visibility, not mutual exclusion",synchronized is deprecated in Java 17,synchronized cannot be used inside Kafka consumers,A,"synchronized only serializes threads within a single JVM. 20NINE runs multiple pods on Kubernetes, so two pods can still race on the same wallet  -  in-process locking gives false safety. The guarantee must live where the shared state is: a version-based conditional write in the database. A distributed lock (Redis) is an alternative, but optimistic locking is simpler and cheaper since per-wallet collisions are rare."
106,Concurrency,hard,A single logical transaction is occasionally applied twice even though the client sent one request. What is the root cause and fix?,Kafka lost the message; enable exactly-once for the DynamoDB write,"Kafka is at-least-once, so redelivery happens; make the consumer idempotent by checking the transaction's final state and returning early",The client retried; add a rate limiter on the gateway,The database dropped a write; switch to synchronous replication,B,"Kafka guarantees at-least-once delivery, so a message can be redelivered on rebalance, retry, or late offset commit. A non-idempotent consumer re-applies the change. The fix is idempotency: before applying, confirm checks whether the transaction is already in a final state (SUCCESS/FAILED) and returns early, making a redelivered message a safe no-op. Idempotency key = transaction id (not the Kafka partition key)."
107,Microservices,expert,Why does 20NINE not enable Kafka exactly-once semantics for the balance update?,Exactly-once is impossible in any system,Exactly-once requires a paid Kafka license,"Exactly-once only works Kafka-to-Kafka; the consumer writes to DynamoDB (outside Kafka's transaction boundary), so at-least-once plus an idempotent consumer is the pragmatic choice",Exactly-once would break partition ordering,C,"Exactly-once semantics only apply Kafka-to-Kafka (read-process-write, Kafka Streams). 20NINE's consumer writes to DynamoDB, outside Kafka's transaction boundary, so exactly-once would not cover the balance update  -  plus it adds throughput cost and complexity. At-least-once delivery combined with an idempotent consumer gives the same result where it matters: the data layer."
108,Microservices,expert,"Regarding CAP, where does 20NINE sit?",CA  -  it sacrifices partition tolerance,Purely CP across the whole system,Purely AP across the whole system,"CP for the balance (fails the write rather than guess if it cannot confirm the version), while the broader system is AP (eventually consistent across stores/legs, healed by reconciliation)",D,"Partition tolerance is not optional in a distributed system, so CA is off the table  -  the real choice is CP vs AP. 20NINE leans CP for the balance: if saldo cannot reach DynamoDB or confirm the version, it fails the write rather than guess. The broader system is AP: eventually consistent across the two stores and the two legs, with reconciliation healing drift later. Different parts make different tradeoffs."
109,Microservices,hard,"If a debit leg succeeds but the credit leg fails, is there a window where the books are wrong, and how is it handled?","Yes  -  the legs go through Kafka independently with no shared transaction, so there is a temporary inconsistency window, healed by a compensating action (refund) and reconciliation against KCB",No  -  the two legs share one distributed transaction,No  -  the credit is retried synchronously until it succeeds,Yes  -  but it is ignored because it self-corrects instantly,A,"The two legs go through Kafka independently with no single transaction across them, so yes, there is a temporary inconsistency window (money left one account but has not landed in the other). It is caught by a compensating action such as a refund to the payer, and by reconciliation against the KCB bank statement, which posts a corrective transaction for any mismatch. The design accepts the window and heals it (AP, heal-later) rather than making the legs atomic."
110,Microservices,hard,How is the bookkeeping service's DynamoDB `Transaction` table modeled to support listing a user's transactions by date?,"A single global table with no keys, scanned per query","Partition key on userId, plus Global Secondary Indexes on user + created date and user + updated date","Partition key on transaction id only, with a full scan for date ranges",A relational join between two DynamoDB tables,B,"The workload is keyed lookups scoped to a user, so the partition key is userId. To list a user's transactions ordered by date, Global Secondary Indexes were added  -  one on user + created date, another on user + updated date  -  so those queries are efficient instead of scanning. The tradeoff is that DynamoDB tables are designed around known access patterns up front; you cannot just run an ad-hoc SQL query later."
111,Microservices,expert,"A new requirement needs a query the DynamoDB keys don't support (e.g. by category, or across all users by date). What is the best approach?","Add unlimited GSIs, since there is no limit","Always run a full Scan, since it is cheap","Recognize GSIs are limited and Scans are expensive, so stream the data into a relational store (CQRS): DynamoDB stays operational, PostgreSQL serves flexible SQL/aggregation",Store all data twice in DynamoDB with different keys,C,"GSIs are limited in number and a full Scan reads the whole table (expensive). For genuinely flexible or analytical queries, the better move is to push the data into a relational store  -  essentially CQRS: DynamoDB remains the operational store for fast keyed reads/writes, and changes stream into PostgreSQL (via DynamoDB Streams or published events) where flexible SQL and aggregations run. This is why the system has both databases."
112,Microservices,medium,"When describing which parts you built, what is the recommended framing?",Claim ownership of the entire platform to sound senior,Say only 'I owned the money side' and stop,Avoid mentioning any teammate contributions,Draw the boundary explicitly in three tiers: built/owned vs integrated-with vs understand-from-working-nearby,D,"The lesson is to draw the ownership boundary explicitly in three tiers  -  built/owned (the bookkeeping service, DynamoDB modeling with GSIs, reporting), integrated-with (the wallet/payment flow), and understand-from-working-nearby (reconciliation, KCB integration, and gateway security were teammates' or the platform's work). Being crisp about ownership reads as honest and avoids over-claiming that invites drilling into your weakest area."
113,Microservices,hard,"How does 20NINE deliver a push notification to a device via AWS SNS, and how are Android and iOS handled?","Register the device token as a platform endpoint (createPlatformEndpoint) against the platform application ARN, then publish to the endpoint ARN  -  FCM for Android, APNS for iOS, using messageStructure json",Publish the message directly to the device token for both platforms,Send an email via SES that the app converts to a push,Use a single universal payload identical for all platforms,A,"SNS does not publish straight to a token: you first register the token as a platform endpoint against the platform application ARN (createPlatformEndpoint), which returns an endpoint ARN, then you publish to that endpoint. 20NINE has separate platform applications  -  FCM for Android and APNS for iOS  -  and uses messageStructure json so the payload is formatted per platform (GCM shape for Android, APNS shape for iOS). Note the real code creates the endpoint, publishes, then deletes it in a finally block; reusing a stored endpoint ARN would be better."
114,Microservices,medium,Does 20NINE implement real web push via SNS?,"Yes, via a fully configured WEBPUSH platform application with VAPID",No  -  there is a leftover ARN_WEB constant that is never referenced and points at a GCM app; the Platform enum is only IOS and ANDROID,"Yes, web push is the primary channel","No, because SNS cannot do web push at all",B,"There is no real web push. A leftover ARN_WEB constant is defined but never referenced and points at a GCM app, not a browser web-push platform. The Platform enum is only { IOS, ANDROID } and the push logic only branches on those two. SNS can do web push via a WEBPUSH platform application with VAPID, but 20NINE did not set that up."
115,Microservices,hard,"How should stale device tokens be handled, and why are notifications sent asynchronously?",Retry stale tokens forever; send notifications synchronously for reliability,Delete the user account when a token goes stale; send synchronously,Currently pushes go to all stored tokens with per-push try/catch (stale ones just log and fail); the proper fix is to act on SNS invalid-endpoint failures and remove the token. Notifications are async (via Kafka) so a side effect never slows or fails the main transaction,Store tokens only in memory; block the request until SNS confirms delivery,C,"On reinstall a user gets a new token while old ones remain stored, so each push is wrapped in try/catch  -  the valid token succeeds and the stale one just logs and fails, meaning dead endpoints keep being hit. The proper fix is to act on the failure: SNS reports invalid/disabled endpoints, so catch that and remove the token from the DB. Notifications go out asynchronously (the service publishes to Kafka and the notification service consumes it) because a notification is a side effect that must not slow down or fail the actual transaction."
116,Microservices,hard,"How does 20NINE deploy and run its services, and what does the deploy chain look like?",Bare-metal servers with manual SSH deploys,A single monolith deployed to Elastic Beanstalk,AWS Lambda functions triggered by API Gateway only,"EKS (Kubernetes on AWS): each service has a Dockerfile, Helm charts manage per-environment config, and ArgoCD provides a GitOps flow  -  build image, push to registry, ArgoCD auto-syncs to the cluster",D,"Services run on EKS (Kubernetes on AWS). Each service is packaged as a container image via a Dockerfile, Helm charts manage the Kubernetes config and per-environment variables, and deploys are automated with ArgoCD in a GitOps flow  -  ArgoCD watches the repo and auto-syncs changes. The chain is: build the image, push it to the registry, ArgoCD picks it up and deploys to EKS. Supporting AWS services include DynamoDB, MSK (managed Kafka), S3, SNS, and ElastiCache/Redis."
117,Microservices,expert,What is 20NINE's deploy strategy and how is cross-service debugging done?,"Rolling update (the K8s default, no explicit strategy block)  -  but with replicas: 1 and no readiness probes it is not truly zero-downtime; debugging uses distributed tracing (traceId/spanId via Spring Cloud Sleuth, Zipkin/Brave) with logs shipped through Logstash into OpenSearch",Canary by default with no tracing,Blue-green by default with full request logging on one server,Recreate strategy with all pods restarted at once; debugging by SSH into each pod,A,"Deployments declare no explicit strategy block, so Kubernetes uses the default RollingUpdate  -  new pods come up healthy before old ones retire. The senior-level catch: each deployment is replicas: 1 with no readiness probes, so it is not truly zero-downtime (that needs 2+ replicas and probes). For debugging, distributed tracing propagates a traceId/spanId via Spring Cloud Sleuth (Zipkin/Brave for the tracing layer, including gRPC), and every service ships logs via Logstash into OpenSearch, so one traceId reveals a request's full path across services."
118,Microservices,expert,"How is gRPC communication between internal 20NINE services secured, and how would you harden it?","mTLS on every call today, so no hardening is needed","No application-level security (plaintext gRPC, no mTLS, no per-call token)  -  trust relies on Kubernetes network isolation; real security is at the edge (gateway JWT + Redis blacklist) and the KCB integration; hardening = mTLS via a service mesh (Istio/Linkerd) plus signed per-call identity for zero-trust",Per-call JWT auth on every gRPC method already,"gRPC traffic is encrypted by default by Kubernetes, so it is already zero-trust",B,"Between internal services there is no application-level security: gRPC runs plaintext with no mTLS and no per-call auth token. Trust relies on Kubernetes network isolation  -  services talk over internal cluster DNS and nothing is exposed publicly, so the cluster is the trust boundary. Real security is concentrated at the edge (gateway validates a JWT on every request plus a Redis blacklist) and in the external KCB integration. This is a perimeter model (hard shell, soft interior); proper hardening is mTLS between services  -  typically via a service mesh like Istio or Linkerd  -  plus a signed per-call identity token, i.e. zero-trust. Never dead-end on the weakness; end on how you would secure it."
